name,type,dno,ss_voltages,proposed_voltage,connection_status,total_demand_number,total_demand_capacity_mw,total_generation_number,total_generation_capacity_mw
Stony Stratford,bsp,NGED,['33'],33,pending,0,0,1,21.875
Buckingham,primary,NGED,"['11', '33']",11,pending,3,4,0,0
Eldergate,primary,NGED,"['11', '33']",11,pending,1,1.322,0,0
Shenley Wood,primary,NGED,"['11', '33']",11,pending,1,1.3,0,0
Steeple Claydon,primary,NGED,"['11', '33']",11,pending,1,1,0,0
Enderby,gsp,NGED,['132'],132,pending,1,20,1,1.56
Bardon,primary,NGED,"['11', '33']",11,pending,2,5.65,0,0
Mantle Lane Coalville,primary,NGED,"['11', '33']",11,pending,2,3.437,0,0
Osbaston,primary,NGED,"['11', '33']",11,pending,1,1.57,0,0
Braunstone,primary,NGED,"['11', '33']",11,pending,1,2.168,0,0
Thurnby,primary,NGED,"['11', '33']",11,pending,1,3.378,0,0
Beaumont Leys,primary,NGED,"['11', '33']",11,pending,4,12.469,1,1.898
Birstall,primary,NGED,"['11', '33']",11,pending,1,1.569,0,0
Groby Road,primary,NGED,"['11', '33']",11,pending,2,11.3,0,0
Lero,primary,NGED,"['6.6', '33']",6.6,pending,1,2.3,0,0
Alliance And Leicester,primary,NGED,"['11', '33']",11,pending,1,6,0,0
Whetstone,primary,NGED,"['11', '33']",11,pending,1,6,0,0
Wigston Magna,primary,NGED,"['11', '33']",11,pending,4,6.587,1,1.06
Grendon,gsp,NGED,['132'],132,pending,1,500,1,500
Corby Central,primary,NGED,"['11', '33']",11,pending,1,1.5,0,0
Corby No2,primary,NGED,['11'],11,pending,2,4.34,1,1.7
Earlstrees,primary,NGED,"['11', '33']",11,pending,1,5,0,0
Hazelwood,primary,NGED,"['11', '33']",11,pending,2,5.25,1,6.65
Oakley,primary,NGED,"['11', '33']",11,pending,1,1.708,0,0
Irthlingborough,bsp,NGED,['33'],33,pending,1,31,1,31
Pytchley Road,primary,NGED,"['11', '33']",11,pending,3,3.5,0,0
Kettering,bsp,NGED,['33'],33,pending,1,5,1,5
Burton Latimer,primary,NGED,"['11', '33']",11,pending,0,0,1,4.2
Desborough,primary,NGED,"['11', '33']",11,pending,1,1.218,0,0
Field Street,primary,NGED,"['11', '33']",11,pending,1,2,0,0
Kibworth,primary,NGED,['11'],11,pending,1,1.25,0,0
Melton Mowbray,bsp,NGED,['33'],33,pending,0,0,1,40
Holwell,primary,NGED,"['11', '33']",11,pending,1,1.554,0,0
Melton Mowbray,primary,NGED,['11'],11,pending,5,8.428,0,0
Northampton,bsp,NGED,['33'],33,pending,0,0,1,40
Wootton,primary,NGED,"['11', '33']",11,pending,2,3.286,0,0
Northampton East,bsp,NGED,['33'],33,pending,2,45.1,1,39.6
Banbury Lane,primary,NGED,"['11', '33']",11,pending,2,5.38,0,0
Ellesmere Avenue,primary,NGED,"['11', '33']",11,pending,1,1,0,0
Empingham,primary,NGED,"['11', '33']",11,pending,1,5.32,0,0
Oakham,primary,NGED,['11'],11,pending,1,1,0,0
Sharnbrook,primary,NGED,"['11', '33']",11,pending,2,3.88,0,0
Atherstone,primary,NGED,"['11', '33']",11,pending,1,1.461,0,0
Wood End,primary,NGED,"['11', '33']",11,pending,1,3,0,0
Tamworth Town,primary,NGED,['11'],11,pending,2,5.075,0,0
Ratcliffe On Soar,gsp,NGED,['132'],132,pending,1,70,1,70
Loughborough,primary,NGED,['11'],11,pending,3,5.7,0,0
Loughborough,bsp,NGED,['33'],33,pending,0,0,2,31.99
Brush,primary,NGED,"['11', '33']",11,pending,2,2,0,0
Shepshed,primary,NGED,"['11', '33']",11,pending,3,5.3,0,0
Clifton,primary,NGED,"['11', '33']",11,pending,1,1,0,0
North Wilford,primary,NGED,"['11', '33']",11,pending,1,4.188,0,0
Sneinton,primary,NGED,"['11', '33']",11,pending,1,1,0,0
Talbot Street,primary,NGED,"['11', '33']",11,pending,1,2.499,0,0
West Bridgford,primary,NGED,"['11', '33']",11,pending,2,6.853,0,0
Wollaton Road,primary,NGED,"['11', '33']",11,pending,2,6.5,0,0
Toton,primary,NGED,['11'],11,pending,1,1.421,0,0
Mountsorrel,primary,NGED,"['11', '33']",11,pending,1,9,0,0
Syston,primary,NGED,"['11', '33']",11,pending,2,2.828,0,0
Willoughby,primary,NGED,['11'],11,pending,1,1,0,0
Grantham South,primary,NGED,['11'],11,pending,1,1,0,0
Hawton,bsp,NGED,['33'],33,pending,1,8,0,0
Fernwood,primary,NGED,"['11', '33']",11,pending,1,3.351,1,1.37
Newark Junction,primary,NGED,"['11', '33']",11,pending,2,4.542,0,0
Nottingham East,bsp,NGED,['33'],33,pending,1,21.57,0,0
Colwick,primary,NGED,"['11', '33']",11,pending,1,6,0,0
Nottingham North,bsp,NGED,['33'],33,pending,2,27.514,1,2.119
Bulwell,primary,NGED,"['11', '33']",11,pending,1,2,0,0
Church Street,primary,NGED,"['11', '33']",11,pending,1,1.5,0,0
Marlborough Road,primary,NGED,"['11', '33']",11,pending,1,1,0,0
Marsh Lane,primary,NGED,"['11', '33']",11,pending,2,5,0,0
Sleaford Road Boston,primary,NGED,"['11', '33']",11,pending,1,4.183,0,0
Stickney,primary,NGED,"['11', '33']",11,pending,1,2.3,0,0
Wrangle,primary,NGED,"['11', '33']",11,pending,1,1.25,0,0
Holbeach,primary,NGED,"['11', '33']",11,pending,2,3.24,0,0
Spalding Clay Lake,primary,NGED,['11'],11,pending,1,1.55,0,0
Spalding Park Road,primary,NGED,"['11', '33']",11,pending,1,1.5,0,0
Wittering,primary,NGED,"['11', '33']",11,pending,1,1.5,0,0
West Burton,gsp,NGED,['132'],132,pending,4,397.39,5,466.29
Doddington Park,primary,NGED,"['11', '33']",11,pending,1,1,0,0
North Hykeham,primary,NGED,"['11', '33']",11,pending,3,9,0,0
Rookery Lane Lincoln,primary,NGED,"['11', '33']",11,pending,1,18.1,0,0
Wragby,primary,NGED,"['11', '33']",11,pending,1,1,0,0
Worksop,bsp,NGED,['33'],33,pending,1,8.642,0,0
Kilton Road,primary,NGED,"['11', '33']",11,pending,2,8.372,0,0
Willington,gsp,NGED,['132'],132,pending,1,99.9,1,99.9
Derby South,bsp,NGED,['33'],33,pending,2,39,0,0
Allenton,primary,NGED,"['11', '33']",11,pending,1,1.25,0,0
Infinity Park,primary,NGED,"['11', '33']",11,pending,1,1.799,0,0
Normanton,primary,NGED,"['11', '33']",11,pending,1,1.447,0,0
Silverstone,primary,NGED,"['11', '33']",11,pending,2,3.75,0,0
Denby,primary,NGED,"['11', '33']",11,pending,1,1,0,0
Heanor,primary,NGED,['11'],11,pending,1,1.3,0,0
Trent Lane,primary,NGED,"['11', '33']",11,pending,2,2,0,0
Sandiacre,primary,NGED,"['11', '33']",11,pending,1,3.105,0,0
Church Street,primary,NGED,"['11', '33']",11,pending,2,5.438,0,0
Ashbourne,primary,NGED,"['11', '33']",11,pending,1,2.5,0,0
Bakewell,primary,NGED,"['11', '33']",11,pending,1,2,0,0
Aberthaw,gsp,NGED,[],132,budget,1,80,0,0
Cardiff West Grid,bsp,NGED,[],33,budget,0,0,4,130
East Aberthaw,bsp,NGED,[],33,budget,0,0,2,80
Sully Grid,bsp,NGED,[],11,budget,1,15,2,80
Cardiff East Grid,gsp,NGED,[],132,budget,2,250,0,0
Sandon Street,primary,NGED,[],11,budget,1,1.622,0,0
Cardiff East Grid,bsp,NGED,[],33,budget,1,20,1,20
Heath,primary,NGED,[],11,budget,1,5,0,0
Street Mellons,primary,NGED,[],11,budget,1,1.4,1,7.6
Rover Way,primary,NGED,[],11,budget,1,10,0,0
Pembroke,gsp,NGED,[],132,budget,2,290,2,290
Golden Hill Grid,bsp,NGED,[],33,budget,0,0,2,17
Golden Hill,primary,NGED,[],11,budget,1,12,2,3
Neyland,primary,NGED,[],11,budget,1,2.7,1,1
Street Florence,primary,NGED,[],11,budget,0,0,1,5
Haverfordwest Grid,bsp,NGED,[],33,budget,1,25,5,120
Pyle Grid,gsp,NGED,[],132,budget,2,162.9,6,322.9
Bridgend Grid,bsp,NGED,[],33,budget,2,37,0,0
Bridgend Trading Estate,primary,NGED,[],11,budget,5,28.045,0,0
Llangewydd,primary,NGED,[],11,budget,1,3.352,0,0
Pyle,primary,NGED,[],11,budget,2,3.5,0,0
Abergavenny,bsp,NGED,[],11,budget,1,30,3,110
Abergavenny,primary,NGED,[],11,budget,1,10,2,9.6
Brecon,primary,NGED,[],11,budget,1,1.36,1,19.36
Crumlin,bsp,NGED,[],33,budget,0,0,2,80
Swansea North Grid,gsp,NGED,"['132', '33']",132,budget,4,350,7,274.8
Ammanford Grid,bsp,NGED,[],33,budget,2,45,8,137.6
Meinciau,primary,NGED,[],11,budget,0,0,1,7.6
Pantyffynon,primary,NGED,[],11,budget,0,0,1,7
Briton Ferry Grid,bsp,NGED,[],33,budget,1,150,4,279.9
Victoria Road,primary,NGED,[],11,budget,1,1.6,0,0
Wern,primary,NGED,[],11,budget,1,8,0,0
Ynys Street,primary,NGED,[],11,budget,1,1.25,0,0
Trevaughan,primary,NGED,[],11,budget,1,1,1,6
Hirwaun Grid,bsp,NGED,[],33,budget,2,162.9,6,260.4
Hirwaun,primary,NGED,[],11,budget,1,6.23,1,7.6
Lampeter Grid,bsp,NGED,[],33,budget,0,0,1,15
Llanfihangel Ystrad,primary,NGED,[],11,budget,0,0,1,7.6
Aberaeron,primary,NGED,[],11,budget,0,0,1,2.5
Llanarth,primary,NGED,[],11,budget,0,0,1,7.6
Llanelli Grid,bsp,NGED,[],11,budget,0,0,2,30
Cardigan,primary,NGED,[],11,budget,2,2.75,0,0
Rhos,primary,NGED,[],11,budget,0,0,1,2.25
Swansea North,bsp,NGED,[],33,budget,1,75,1,20
Garngoch,primary,NGED,[],11,budget,4,4,0,0
Ravenhill,primary,NGED,[],11,budget,2,8.48,0,0
Upper Bank,primary,NGED,[],11,budget,2,2,0,0
Ystradgynlais Grid,bsp,NGED,[],33,budget,0,0,3,55.2
Upper Boat,gsp,NGED,[],132,budget,2,90,5,210
Dowlais Grid,bsp,NGED,[],33,budget,1,20,3,100
Merthyr East,primary,NGED,[],11,budget,0,0,1,10
Mountain Ash Grid,bsp,NGED,[],33,budget,0,0,2,80
Mountain Ash,primary,NGED,[],11,budget,0,0,1,1.4
Pencoed Grid,bsp,NGED,[],11,budget,0,0,4,155
Pontyclun,primary,NGED,"['11', '132']",11,budget,0,0,1,7.5
Talbot Green,primary,NGED,[],11,budget,1,3.3,0,0
Upper Boat,bsp,NGED,[],33,budget,0,0,1,15
Uskmouth,gsp,NGED,[],132,budget,3,95,4,160
Llantarnam,bsp,NGED,[],66,budget,1,15,3,55
Llantarnam,primary,NGED,[],11,budget,1,1.252,0,0
Rogerstone,primary,NGED,[],11,budget,0,0,1,10
Magor Grid,bsp,NGED,[],11,budget,0,0,2,80
Newport East,bsp,NGED,[],11,budget,1,1.6,0,0
Newport South,bsp,NGED,[],33,budget,1,15,3,104.9
Newport West,primary,NGED,[],11,budget,1,1,0,0
Panteg,bsp,NGED,"['11', '132']",11,budget,0,0,2,80
Cardiff South Grid,primary,NGED,[],11,accepted,1,5.3,0,0
Fairwater,primary,NGED,[],11,accepted,1,1,1,1.0307
Grangetown Grid,primary,NGED,[],11,accepted,1,1,0,0
Sully Grid,primary,NGED,[],11,accepted,1,1,0,0
Sandon Street,primary,NGED,[],11,accepted,1,1.216,0,0
Wood Street,primary,NGED,[],11,accepted,2,3.5,0,0
Street Mellons,primary,NGED,[],11,accepted,1,1.5,0,0
Rover Way,primary,NGED,[],11,accepted,1,5.9,0,0
Grange,bsp,NGED,[],66,accepted,1,3,1,22
Pembroke,gsp,NGED,[],132,accepted,1,50,1,49.9
Steynton,primary,NGED,[],11,accepted,1,3,0,0
Pyle Grid,gsp,NGED,[],132,accepted,1,50,2,130
Bridgend Trading Estate,primary,NGED,[],11,accepted,1,1.6,0,0
Waterton Industrial,primary,NGED,[],11,accepted,1,3.8,0,0
Abergavenny,primary,NGED,[],11,accepted,1,1.5,0,0
Crumlin,bsp,NGED,[],11,accepted,1,28,1,28
Cwmfelinfach,primary,NGED,[],11,accepted,1,2,0,0
Swansea North Grid,gsp,NGED,"['132', '33']",132,accepted,1,87.8,3,161.8
Ynys Street,primary,NGED,[],11,accepted,1,2.65,0,0
Aberpergwm,primary,NGED,[],11,accepted,1,1.5,0,0
Swansea Waterfront,primary,NGED,[],11,accepted,1,3.5,0,0
Tir John,primary,NGED,[],6.6,accepted,0,0,1,2.5
Trostre Grid,bsp,NGED,[],33,accepted,1,25,2,43
Maesarddafen,primary,NGED,[],11,accepted,1,1,0,0
Upper Boat,gsp,NGED,[],132,accepted,1,49.9,1,49.9
Pontyclun,primary,NGED,"['11', '132']",11,accepted,1,1.685,0,0
Talbot Green,primary,NGED,[],11,accepted,1,1,0,0
Upper Boat,bsp,NGED,[],11,accepted,0,0,1,7.5
Uskmouth,gsp,NGED,[],132,accepted,0,0,1,48
Llantarnam,bsp,NGED,[],11,accepted,0,0,1,19.2
Magor,primary,NGED,[],11,accepted,2,3.207,0,0
Ringland Newport,primary,NGED,[],11,accepted,1,1.35,0,0
Sudbrook,bsp,NGED,[],11,accepted,0,0,1,20
Cardiff South Grid,primary,NGED,[],11,pending,1,4,0,0
Fairwater,primary,NGED,[],11,pending,0,0,1,1.0304
East Aberthaw,primary,NGED,[],11,pending,1,1.1,0,0
Grangetown Grid,primary,NGED,[],11,pending,1,1,0,0
Cardiff East Grid,gsp,NGED,[],132,pending,1,135,0,0
Wood Street,primary,NGED,[],11,pending,1,2.957,0,0
Cardiff East Grid,primary,NGED,[],11,pending,2,4,0,0
Cyncoed,primary,NGED,[],11,pending,1,1,0,0
Street Mellons,primary,NGED,[],11,pending,1,1,0,0
Grange,bsp,NGED,[],11,pending,1,10,0,0
Pembroke,gsp,NGED,[],132,pending,2,446,2,145.9
Haverfordwest Power Stn,primary,NGED,[],11,pending,1,2.589,0,0
Milford Haven Grid,bsp,NGED,[],132,pending,0,0,1,110
Pyle Grid,gsp,NGED,[],132,pending,2,149.9,2,189.9
Bridgend Trading Estate,primary,NGED,[],11,pending,3,8.157,0,0
Llangewydd,primary,NGED,[],11,pending,2,6.15,0,0
Schwyll,primary,NGED,[],11,pending,1,3.542,0,0
Abergavenny,bsp,NGED,[],66,pending,0,0,1,10
Abergavenny,primary,NGED,[],11,pending,2,2.5,0,0
Brecon,primary,NGED,[],11,pending,1,1.3,0,0
Ebbw Vale,primary,NGED,[],11,pending,0,0,1,2.1
Swansea North Grid,gsp,NGED,"['132', '33']",132,pending,2,250,3,124
Hendy,primary,NGED,[],11,pending,1,1,0,0
Pantyffynon,primary,NGED,[],11,pending,1,2,0,0
Britton Ferry,primary,NGED,[],11,pending,1,4.2,0,0
Ynys Street,primary,NGED,[],11,pending,1,1.6,0,0
Carmarthen Grid,bsp,NGED,[],33,pending,1,8.5,1,10
Cwmffrwd,primary,NGED,[],11,pending,1,1.643,0,0
Street Clears,primary,NGED,[],11,pending,0,0,1,9.9
Trevaughan,primary,NGED,[],11,pending,2,2.4,0,0
Hirwaun Grid,bsp,NGED,[],33,pending,0,0,1,14.1
Morriston,primary,NGED,[],11,pending,6,11.95,0,0
Rhos Grid,bsp,NGED,[],11,pending,0,0,1,15.3
Swansea North,bsp,NGED,[],33,pending,0,0,1,15
Garngoch,primary,NGED,[],11,pending,2,8.3,0,0
Lime Street Gorseinon,primary,NGED,[],11,pending,1,1,0,0
Llandarcy,primary,NGED,[],11,pending,1,1.6,0,0
Upper Bank,primary,NGED,[],11,pending,1,1.177,0,0
Ystradgynlais Grid,bsp,NGED,[],33,pending,1,30,1,60
Travellers Rest,primary,NGED,[],11,pending,1,1,0,0
Upper Boat,gsp,NGED,[],132,pending,1,49.9,1,49.9
Dowlais Grid,bsp,NGED,[],33,pending,0,0,1,15
Pencoed,primary,NGED,[],11,pending,1,8.16,0,0
Caerphilly,primary,NGED,[],11,pending,2,2.2,0,0
Creigiau,primary,NGED,[],11,pending,2,3.029,0,0
Uskmouth,gsp,NGED,[],132,pending,3,138,2,260
Magor,primary,NGED,[],11,pending,2,2.207,0,0
Newport South,bsp,NGED,[],33,pending,1,8,0,0
Newport West,bsp,NGED,[],11,pending,1,2,0,0
Abham,gsp,NGED,[],132,budget,0,0,1,25
Dawlish,primary,NGED,[],11,budget,2,4.31,1,2.5
Newton Abbot Main,primary,NGED,[],11,budget,0,0,1,2.97
Paignton,bsp,NGED,[],33,budget,0,0,2,120
Colley End,primary,NGED,[],11,budget,1,1,1,25
Plymouth,bsp,NGED,[],33,budget,0,0,2,80
Adelaide Road,primary,NGED,[],11,budget,2,3.6,0,0
Buckwell Street,primary,NGED,[],11,budget,1,1,0,0
Langage,primary,NGED,[],11,budget,1,1.6,0,0
Torquay,bsp,NGED,[],33,budget,1,6,0,0
Barton,primary,NGED,[],11,budget,1,6,0,0
Upton Valley,primary,NGED,[],11,budget,1,1.884,0,0
Totnes,bsp,NGED,[],33,budget,0,0,2,80
Kingsbridge,primary,NGED,[],11,budget,1,1,0,0
Alverdiscott,gsp,NGED,[],132,budget,3,82.5,3,82.485
Barnstaple,bsp,NGED,[],33,budget,3,19.528,6,175
Rock Park,primary,NGED,[],11,budget,1,3,0,0
East Yelland,bsp,NGED,[],33,budget,2,25,4,149.99
Braunton,primary,NGED,[],11,budget,1,5.88,0,0
Fremington,primary,NGED,[],11,budget,0,0,1,4.898
North Tawton,bsp,NGED,[],33,budget,0,0,9,252.9
Pyworthy,bsp,NGED,[],33,budget,2,25,8,299.89
Clovelly,primary,NGED,[],11,budget,1,1.6,0,0
Lifton,primary,NGED,[],11,budget,0,0,1,3
Woodcote,bsp,NGED,[],33,budget,0,0,2,80
Bridgwater,gsp,NGED,[],132,budget,0,0,1,30
Bridgwater Grid,bsp,NGED,[],33,budget,0,0,1,50
Bath Road,primary,NGED,[],11,budget,1,2,0,0
Colley Lane,primary,NGED,[],11,budget,1,4,0,0
Somerton,primary,NGED,[],11,budget,1,1.15,0,0
Watchfield,primary,NGED,[],11,budget,2,2.75,0,0
Churchill,bsp,NGED,['33'],33,budget,0,0,1,30
Street,bsp,NGED,[],33,budget,1,5,3,105
Millfield,primary,NGED,[],11,budget,1,1,0,0
Exeter Main,gsp,NGED,[],132,budget,4,47.04,1,49.9
Exeter City,bsp,NGED,[],33,budget,1,75,3,149.9
Exminster,primary,NGED,[],11,budget,1,6.75,0,0
Folly Bridge,primary,NGED,[],11,budget,0,0,1,3.96
Exeter Main,bsp,NGED,[],33,budget,1,10,14,497
Withycombe Raleigh,primary,NGED,[],11,budget,1,3.493,0,0
Sowton,bsp,NGED,[],33,budget,0,0,2,80
Exeter Science Park,primary,NGED,[],11,budget,1,4,0,0
Marsh Green,primary,NGED,[],11,budget,2,2.563,0,0
Tiverton,bsp,NGED,[],33,budget,2,25,3,119.99
Bridge Mills,primary,NGED,[],11,budget,0,0,1,3
Cullompton,primary,NGED,[],11,budget,3,11,0,0
Indian Queens,gsp,NGED,[],132,budget,1,49.9,2,49.9
Camborne,bsp,NGED,[],33,budget,2,25,4,149.99
Fraddon,bsp,NGED,[],33,budget,0,0,2,80
Street Mawgan,primary,NGED,[],11,budget,0,0,1,2
Hayle,bsp,NGED,[],33,budget,2,25,2,69.99
Newlyn,primary,NGED,[],11,budget,1,1.315,0,0
Penzance Heamoor,primary,NGED,[],11,budget,1,3,0,0
Rame,bsp,NGED,[],33,budget,3,31,6,161.99
Falmouth Bickland Hl,primary,NGED,[],11,budget,1,1.5,0,0
Helston,primary,NGED,[],11,budget,1,4,0,0
Penryn,primary,NGED,[],11,budget,0,0,1,6
Street Austell,bsp,NGED,[],33,budget,0,0,2,80
Par Harbour,primary,NGED,[],11,budget,1,1,0,0
Sawles Road,primary,NGED,[],11,budget,1,1.5,0,0
Street Austell,primary,NGED,[],11,budget,1,1.6,0,0
Street Tudy,bsp,NGED,[],11,budget,2,25,4,149.99
Wadebridge,primary,NGED,[],11,budget,2,3.732,0,0
Truro,bsp,NGED,[],33,budget,2,25,4,149.99
Truro Shortlanesend,primary,NGED,[],11,budget,1,6,0,0
Iron Acton,gsp,NGED,['132'],132,budget,3,190,2,90
Almondsbury,primary,NGED,[],11,budget,3,5.9,0,0
Bradley Stoke,primary,NGED,[],11,budget,1,1,0,0
Feeder Road,bsp,NGED,['33'],33,budget,1,70,0,0
Bedminster,primary,NGED,[],11,budget,1,3.7,0,0
Feeder Road,primary,NGED,['11'],11,budget,2,2.808,0,0
Whitchurch,primary,NGED,[],11,budget,1,9.124,0,0
Eastville,primary,NGED,[],11,budget,1,1,0,0
Filton Dc,primary,NGED,[],11,budget,1,1.2,0,0
Lockleaze,primary,NGED,[],11,budget,1,1.285,0,0
Patchway,primary,NGED,[],11,budget,2,8,0,0
Seabank,bsp,NGED,[],33,budget,0,0,3,71.27
Western Approach,primary,NGED,[],11,budget,1,6,0,0
Street Pauls,primary,NGED,['11'],11,budget,3,5.32,0,0
Landulph,gsp,NGED,[],132,budget,0,0,2,60
Southway,primary,NGED,[],11,budget,1,1.118,0,0
Landulph,bsp,NGED,[],33,budget,2,10,6,130
Street Germans,bsp,NGED,[],33,budget,4,125,6,299.99
Churchill,bsp,NGED,['132'],132,budget,1,200,1,50
Westwick,primary,NGED,[],11,budget,1,1.5,0,0
Weston Central,primary,NGED,[],11,budget,1,1,0,0
Seabank,gsp,NGED,[],132,budget,0,0,2,80
Avonmouth,bsp,NGED,[],33,budget,0,0,3,100.8
Avonmouth,primary,NGED,[],11,budget,2,3,0,0
Cairns Road,primary,NGED,[],11,budget,1,1.25,0,0
Kingsweston,primary,NGED,[],11,budget,1,1,0,0
Radstock,bsp,NGED,['33'],33,budget,0,0,1,5
Radstock,bsp,NGED,['132'],132,budget,0,0,2,80
Evercreech,primary,NGED,[],11,budget,1,2,0,0
Keynsham East,primary,NGED,[],11,budget,1,2,0,0
Newbury,primary,NGED,[],11,budget,0,0,1,5
Taunton,gsp,NGED,[],132,budget,2,25.1,2,94.9
Bowhays Cross,bsp,NGED,[],33,budget,2,25,6,184.9
Taunton Main,bsp,NGED,[],33,budget,0,0,2,80
Bradley Lane,primary,NGED,[],11,accepted,1,8.25,0,0
Dawlish,primary,NGED,[],11,accepted,1,2,0,0
Newton Abbot Main,primary,NGED,[],11,accepted,1,2,0,0
Newton Ferrers,primary,NGED,[],11,accepted,1,1.045,0,0
Torycombe,primary,NGED,[],11,accepted,1,2,0,0
Lawes Bridge,primary,NGED,[],11,accepted,1,1.5,0,0
Barnstaple,bsp,NGED,[],33,accepted,1,17,1,17
Barnstaple Quay,primary,NGED,[],11,accepted,1,1.2,0,0
Lifton,primary,NGED,[],11,accepted,1,1,0,0
Shebbear,primary,NGED,[],11,accepted,1,49.99,1,49.99
Bridport,primary,NGED,[],11,accepted,1,1.5,0,0
Bridgwater,gsp,NGED,[],132,accepted,1,10,1,10
Bath Road,primary,NGED,[],11,accepted,1,1.2,0,0
Colley Lane,primary,NGED,[],11,accepted,2,5.95,0,0
Street,bsp,NGED,[],33,accepted,1,5,1,10
Millfield,primary,NGED,[],11,accepted,1,1.5,0,0
Exeter Main,gsp,NGED,[],132,accepted,0,0,1,49.9
Exeter City,bsp,NGED,[],33,accepted,1,1.612,2,30
Exeter Main,bsp,NGED,[],33,accepted,0,0,1,27
Sowton,bsp,NGED,[],33,accepted,2,50,2,50
Clyst Honiton,primary,NGED,[],11,accepted,1,1.5,0,0
Burlescombe,primary,NGED,[],11,accepted,1,40,1,40
Tiverton South,primary,NGED,[],11,accepted,1,1,0,0
Indian Queens,gsp,NGED,[],132,accepted,0,0,1,50
Camborne,bsp,NGED,[],33,accepted,0,0,1,10
Fraddon,bsp,NGED,[],33,accepted,1,1.25,0,0
Mevagissey,primary,NGED,[],11,accepted,1,1,0,0
Hayle,bsp,NGED,[],33,accepted,1,8,1,14
Falmouth Bickland Hl,primary,NGED,[],11,accepted,1,1.5,0,0
Falmouth Docks,primary,NGED,[],11,accepted,1,2.5,0,0
Bradley Stoke,primary,NGED,[],11,accepted,1,1,0,0
Bedminster,primary,NGED,[],11,accepted,1,1,0,0
Bower Ashton,primary,NGED,[],11,accepted,1,6,0,0
Feeder Road,primary,NGED,['11'],11,accepted,1,1.5,0,0
Feeder Road B,primary,NGED,[],11,accepted,1,1.2,0,0
Emersons Green,primary,NGED,[],11,accepted,0,0,1,9.212
Filton Dc,primary,NGED,[],11,accepted,1,1,0,0
Patchway,primary,NGED,[],11,accepted,1,4,0,0
Street Pauls,primary,NGED,['11'],11,accepted,4,12.6,0,0
Alexandra Road,primary,NGED,[],11,accepted,2,2.7,0,0
Oldfield Park,primary,NGED,[],6.6,accepted,2,4.1,0,0
