name,type,dno,ss_voltages,proposed_voltage,connection_status,total_demand_number,total_demand_capacity_mw,total_generation_number,total_generation_capacity_mw
Twerton,primary,NGED,[],6.6,accepted,1,4.5,0,0
Weston Locking Road,primary,NGED,[],11,accepted,1,1.5,0,0
Avonmouth,primary,NGED,[],11,accepted,2,2.25,0,0
Kingsweston,primary,NGED,[],11,accepted,3,3.895,0,0
High Littleton,primary,NGED,[],11,accepted,1,1,0,0
Bowhays Cross,bsp,NGED,[],11,accepted,1,9,1,9
Taunton Main,bsp,NGED,[],33,accepted,0,0,1,20
Abham,gsp,NGED,[],132,pending,1,50,1,50
Bovey Tracey,primary,NGED,[],11,pending,1,1,0,0
Dawlish,primary,NGED,[],11,pending,1,2,0,0
Elim Terrace,primary,NGED,[],11,pending,1,2.5,0,0
Longbridge,primary,NGED,[],11,pending,2,2.148,0,0
Plymstock South,primary,NGED,[],11,pending,1,1.5,0,0
Prince Rock,primary,NGED,[],11,pending,1,5,1,5
Plympton,bsp,NGED,[],33,pending,1,25,0,0
Langage,primary,NGED,[],11,pending,1,6,0,0
Newton Ferrers,primary,NGED,[],11,pending,1,1.045,0,0
Great Torrington,primary,NGED,[],11,pending,1,2.168,0,0
Rock Park,primary,NGED,[],11,pending,3,8.146,0,0
Roundswell,primary,NGED,[],11,pending,2,2.9,0,0
East Yelland,bsp,NGED,[],33,pending,0,0,1,7.5
Whiddon Down,primary,NGED,[],11,pending,1,1.5,0,0
Pyworthy,bsp,NGED,[],33,pending,1,15,2,64.5
Lifton,primary,NGED,[],11,pending,1,1.8,0,0
Stratton,primary,NGED,[],11,pending,2,16.5,1,15
Axminster,gsp,NGED,[],132,pending,0,0,1,5.87
Axminster,primary,NGED,[],11,pending,1,1.5,0,0
East Chinnock,primary,NGED,[],11,pending,1,1.974,0,0
Montacute,primary,NGED,[],11,pending,1,1,0,0
Bridgwater,gsp,NGED,[],132,pending,1,10,1,10
Bridgwater Local,primary,NGED,[],11,pending,1,1.5,0,0
Burnham,primary,NGED,[],11,pending,1,1.5,0,0
Colley Lane,primary,NGED,[],11,pending,6,17.004,0,0
Millfield,primary,NGED,[],11,pending,4,8.35,0,0
Exeter Main,gsp,NGED,[],132,pending,2,185,3,269.9
Crediton,primary,NGED,[],11,pending,1,2.5,0,0
Street Thomas,primary,NGED,[],11,pending,1,1.8,0,0
Exeter Main,bsp,NGED,[],33,pending,0,0,1,27
Sidmouth Town,primary,NGED,[],11,pending,0,0,1,1
Withycombe Raleigh,primary,NGED,[],11,pending,1,3.493,0,0
Sowton,bsp,NGED,[],33,pending,0,0,1,20
Clyst Honiton,primary,NGED,[],11,pending,1,2.476,0,0
Countess Wear,primary,NGED,[],11,pending,1,1.5,0,0
Heavitree,primary,NGED,[],11,pending,1,2.305,0,0
Marsh Green,primary,NGED,[],11,pending,4,10.434,0,0
Tiverton,bsp,NGED,[],33,pending,1,10,0,0
Cullompton,primary,NGED,[],11,pending,1,1.25,0,0
Tiverton Junction,primary,NGED,[],11,pending,2,2.5,0,0
Indian Queens,gsp,NGED,[],132,pending,1,60,1,25.3
Redruth,primary,NGED,[],11,pending,1,1.2,0,0
Fraddon,bsp,NGED,[],33,pending,0,0,1,17
Newquay Trevemper,primary,NGED,[],11,pending,1,2,0,0
Marazion,primary,NGED,[],11,pending,1,1,0,0
Penzance Heamoor,primary,NGED,[],11,pending,1,1.5,0,0
Penryn,primary,NGED,[],11,pending,1,4.5,0,0
Wadebridge,primary,NGED,[],11,pending,1,1.5,0,0
Truro,bsp,NGED,[],33,pending,1,6.266,0,0
Truro Shortlanesend,primary,NGED,[],11,pending,1,5.3,0,0
Truro Treyew Road,primary,NGED,[],11,pending,1,1.8,0,0
Twelveheads,primary,NGED,[],11,pending,1,4,0,0
Abbeywood,primary,NGED,[],11,pending,1,1,0,0
Almondsbury,primary,NGED,[],11,pending,2,3.06,0,0
Bradley Stoke,primary,NGED,[],11,pending,1,5.859,0,0
Bedminster,primary,NGED,[],11,pending,1,3.7,0,0
Bishopsworth,primary,NGED,[],11,pending,1,1.5,0,0
Bower Ashton,primary,NGED,[],11,pending,4,10.082,0,0
Broadweir,primary,NGED,[],11,pending,1,2.47,0,0
Feeder Road,primary,NGED,['11'],11,pending,2,3.9,0,0
Whitchurch,primary,NGED,[],11,pending,1,3.351,0,0
Woodland Way,primary,NGED,[],11,pending,0,0,1,9.212
Eastville,primary,NGED,[],11,pending,1,1.4,0,0
Patchway,primary,NGED,[],11,pending,1,8.831,0,0
Winterbourne,primary,NGED,[],11,pending,1,1,0,0
Seabank,bsp,NGED,[],33,pending,1,13,0,0
Western Approach,primary,NGED,[],11,pending,1,1,0,0
Alexandra Road,primary,NGED,[],11,pending,3,3.7,0,0
Milehouse,bsp,NGED,[],33,pending,1,3.481,0,0
Alma Road,primary,NGED,[],11,pending,1,1,0,0
Street Germans,bsp,NGED,[],33,pending,0,0,1,15
Liskeard,primary,NGED,[],11,pending,1,1.5,0,0
Street Neot,primary,NGED,[],11,pending,1,1.25,0,0
Combe Park,primary,NGED,[],6.6,pending,1,4,0,0
Dorchester Street - New,primary,NGED,[],6.6,pending,1,4,0,0
Oldfield Park,primary,NGED,[],6.6,pending,1,2.9,0,0
Bristol International Airport,primary,NGED,[],11,pending,1,2,0,0
Westwick,primary,NGED,[],11,pending,3,10,0,0
East Brent,primary,NGED,[],11,pending,1,1.8,0,0
Weston Central,primary,NGED,[],11,pending,1,1.8,0,0
Avonmouth,bsp,NGED,[],33,pending,2,15.5,1,5
Avonmouth,primary,NGED,[],11,pending,2,2.8,1,5.258
Kingsweston,primary,NGED,[],11,pending,3,5.945,0,0
Easton-In-Gordano,primary,NGED,[],11,pending,1,8,0,0
Portishead Ashlands,primary,NGED,[],11,pending,1,1,0,0
Royal Portbury Dock,primary,NGED,[],11,pending,1,7.5,0,0
Chewton Mendip,primary,NGED,[],11,pending,2,2.8,0,0
Keynsham East,primary,NGED,[],11,pending,1,1.5,0,0
Taunton,gsp,NGED,[],132,pending,2,129.9,2,99.9
Bowhays Cross,primary,NGED,[],11,pending,1,1.19,0,0
Staplegrove,primary,NGED,[],11,pending,2,3.413,0,0
Taunton Local,primary,NGED,[],11,pending,1,1.5,0,0
Wellington Town,primary,NGED,[],11,pending,4,6.139,0,0
Bishops Wood,gsp,NGED,['132'],132,budget,4,240,17,763.9
Bromyard,primary,NGED,"['11', '66']",11,budget,1,2.5,0,0
Ledbury,primary,NGED,"['11', '66']",11,budget,1,1.647,0,0
Newent,primary,NGED,"['11', '66']",11,budget,2,6,0,0
Stourport,primary,NGED,"['11', '132', '33', '66']",11,budget,0,0,2,8
Upton Warren,bsp,NGED,['132'],66,budget,1,35,1,35
Warndon,primary,NGED,"['11', '132']",11,budget,1,1.3,0,0
Worcester,primary,NGED,"['11', '132']",11,budget,2,5.8,0,0
Bushbury D,gsp,NGED,['132'],132,budget,1,30,5,170
Bushbury B-C,primary,NGED,"['11', '132', '33']",11,budget,2,2.6,0,0
Bustleholm,gsp,NGED,['132'],132,budget,2,36,2,80
Bustleholm,primary,NGED,['11'],11,budget,2,6.074,2,2.067
Rushall,primary,NGED,"['11', '132']",11,budget,0,0,2,10
Smethwick,primary,NGED,"['11', '132']",11,budget,1,3.5,0,0
Winson Green,primary,NGED,"['11', '132']",11,budget,4,10.45,0,0
Cellarhead,gsp,NGED,['132'],132,budget,2,70,18,625
Boothen,primary,NGED,"['11', '132', '33']",11,budget,1,2,0,0
Hill Chorlton,primary,NGED,"['11', '33']",11,budget,0,0,1,7.6
Meaford C,primary,NGED,"['11', '132', '33']",11,budget,1,1.875,0,0
Stagefields,primary,NGED,"['11', '132', '33']",11,budget,1,2,0,0
Congleton,primary,NGED,"['11', '33']",11,budget,1,1.25,0,0
Banbury,primary,NGED,"['11', '132']",11,budget,3,10,0,0
Feckenham,gsp,NGED,"['11', '66']",66,budget,3,140,9,289
Broadway,primary,NGED,"['11', '66']",11,budget,0,0,1,1.96
Epwell,primary,NGED,"['11', '66']",11,budget,1,5,1,5
Evesham,primary,NGED,"['11', '66']",11,budget,2,2.655,0,0
Long Marston,primary,NGED,"['11', '66']",11,budget,0,0,2,5
Pershore,primary,NGED,"['11', '66']",11,budget,2,2.665,0,0
Stratford,primary,NGED,"['11', '66']",11,budget,1,3,0,0
Iron Acton,gsp,NGED,['132'],132,budget,3,145,9,320
Alveston,primary,NGED,"['11', '33']",11,budget,1,5,2,5.51
Oxbridge,primary,NGED,"['11', '33']",11,budget,1,2.818,0,0
Clifton,primary,NGED,"['11', '33']",11,budget,8,20.412,0,0
Hammerley Down,primary,NGED,"['11', '33']",11,budget,0,0,1,4.26
Ryeford,primary,NGED,"['11', '132', '33']",11,budget,0,0,1,5
Ironbridge,gsp,NGED,['132'],132,budget,1,3,6,157
Halesfield,primary,NGED,"['11', '33']",11,budget,1,2.5,1,1.1
Madeley,primary,NGED,"['11', '33']",11,budget,0,0,1,5
Hortonwood,primary,NGED,"['11', '132']",11,budget,1,2.08,0,0
Donnington,primary,NGED,"['11', '33']",11,budget,1,1.8,1,5
Ketley,primary,NGED,"['11', '132', '33']",11,budget,0,0,2,10
Kitwell,gsp,NGED,['132'],132,budget,1,25,5,170
Bartley Green,primary,NGED,"['11', '132']",11,budget,1,10,0,0
Halesowen,primary,NGED,"['11', '132']",11,budget,1,1.2,0,0
Rednal,primary,NGED,"['11', '132']",11,budget,1,2,0,0
Lea Marston,gsp,NGED,['132'],132,budget,2,220,4,160
Chelmsley Wood,primary,NGED,[],11,budget,3,12.505,0,0
Shirley,primary,NGED,"['11', '132']",11,budget,2,3.15,0,0
Solihull,primary,NGED,"['11', '132']",11,budget,2,10,0,0
Nechells East,gsp,NGED,['132'],11,budget,1,12,0,0
Boughton Road,primary,NGED,"['11', '132']",11,budget,2,3,0,0
Erdington,primary,NGED,['11'],11,budget,1,1,0,0
Nechells West,primary,NGED,"['11', '132', '25']",11,budget,1,2,0,0
Sparkbrook,primary,NGED,"['11', '132']",11,budget,1,1,0,0
Oldbury,gsp,NGED,['132'],132,budget,1,100,0,0
Birchfield Lane,primary,NGED,"['11', '132']",11,budget,1,2,0,0
Oldbury B,bsp,NGED,['132'],11,budget,1,2.3,0,0
Oldbury B,primary,NGED,['11'],11,budget,2,12,0,0
Tividale,primary,NGED,"['11', '132']",11,budget,3,29.2,0,0
Penn,gsp,NGED,['132'],132,budget,5,360,15,624.8
Coseley,primary,NGED,"['11', '132']",11,budget,1,3,1,1.1
Dudley,primary,NGED,"['11', '132']",11,budget,1,1.932,0,0
Hinksford,primary,NGED,"['11', '132', '33']",11,budget,1,5.5,0,0
Lye,primary,NGED,['11'],11,budget,1,1,0,0
Wolverhampton West,primary,NGED,"['11', '132', '33']",11,budget,0,0,1,7.6
Woodside,primary,NGED,"['11', '132']",11,budget,3,5.845,0,0
Port Ham,gsp,NGED,['132'],132,budget,5,215,16,621
Commercial Road,primary,NGED,"['11', '33']",11,budget,2,3.32,0,0
Tuffley,primary,NGED,"['11', '33']",11,budget,2,10.5,0,0
Alderton,primary,NGED,"['11', '66']",11,budget,1,1,0,0
Bishops Cleeve,primary,NGED,"['11', '66']",11,budget,1,1.26,0,0
Eastern Avenue,primary,NGED,"['11', '132']",11,budget,3,4,0,0
Montpellier,primary,NGED,"['11', '132']",11,budget,1,12,0,0
Tewkesbury Grid,primary,NGED,"['11', '132']",11,budget,3,24.36,0,0
Rugeley,gsp,NGED,['132'],132,budget,2,110,8,313.9
Burntwood,primary,NGED,"['11', '132']",11,budget,2,2.7,1,30
Lichfield,primary,NGED,"['11', '132']",11,budget,1,1.5,0,0
Rugeley Town,primary,NGED,"['11', '132']",11,budget,1,10.2,0,0
Shrewsbury,gsp,NGED,['132'],132,budget,1,50,4,149.9
Bayston Hill,primary,NGED,"['11', '33']",11,budget,1,4.975,0,0
Dothill,primary,NGED,"['11', '33']",11,budget,0,0,1,1
Harlescott,primary,NGED,"['11', '33']",11,budget,1,3,0,0
Leaton,primary,NGED,"['11', '33']",11,budget,2,2.392,2,7.8
Roushill,primary,NGED,"['11', '33']",11,budget,1,8,0,0
Spring Gardens,primary,NGED,"['11', '33']",11,budget,2,4.2,0,0
Willenhall,gsp,NGED,"['11', '132']",132,budget,1,15,0,0
Willenhall,primary,NGED,"['11', '132', '25']",11,budget,1,1.5,0,0
Wolverhampton,primary,NGED,"['11', '132', '33']",11,budget,7,15.022,0,0
Bishops Wood,gsp,NGED,['132'],132,accepted,1,130,1,130
Hereford Central,primary,NGED,"['11', '66']",11,accepted,1,1.2,0,0
Leominster,primary,NGED,"['11', '66']",11,accepted,1,1.185,0,0
Kidderminster,primary,NGED,"['11', '132', '33']",11,accepted,2,9.956,0,0
Ludlow,bsp,NGED,['132'],11,accepted,0,0,1,40
Timberdine,primary,NGED,"['11', '132']",11,accepted,1,3,0,0
Upton Warren,primary,NGED,"['11', '132', '66']",11,accepted,1,1.5,0,0
Warndon,primary,NGED,"['11', '132']",11,accepted,2,3.4,0,0
Bushbury D,gsp,NGED,['132'],132,accepted,1,49.9,1,49.9
Bushbury B-C,primary,NGED,"['11', '132', '33']",11,accepted,1,1.5,1,14.3
Four Ashes,primary,NGED,"['11', '33']",11,accepted,1,1,0,0
Stafford,bsp,NGED,"['132', '25']",11,accepted,1,2.026,0,0
Stafford,primary,NGED,"['11', '132', '25']",11,accepted,2,6.287,0,0
Wednesfield,primary,NGED,"['11', '132']",11,accepted,2,4,0,0
Bustleholm,primary,NGED,['11'],11,accepted,1,1.799,0,0
Kingstanding / Dummy,primary,NGED,"['11', '132']",11,accepted,1,14,0,0
Ladywood,primary,NGED,"['11', '132']",11,accepted,1,2.1,0,0
Smethwick,primary,NGED,"['11', '132']",11,accepted,3,6,0,0
Winson Green,primary,NGED,"['11', '132']",11,accepted,2,2,0,0
Cellarhead,gsp,NGED,['132'],132,accepted,3,209.9,3,242.9
Boothen,primary,NGED,"['11', '132', '33']",11,accepted,1,1.997,0,0
Burslem,primary,NGED,"['11', '132', '33']",11,accepted,2,8.8,0,0
Longton,primary,NGED,"['11', '132', '33']",11,accepted,3,4.65,0,0
Market Drayton,primary,NGED,"['11', '33']",11,accepted,1,2.9,0,0
Leek,primary,NGED,"['11', '33']",11,accepted,1,1.09,0,0
Banbury,primary,NGED,"['11', '132']",11,accepted,2,3.9,0,0
Feckenham,gsp,NGED,"['11', '66']",66,accepted,0,0,2,38
Ipsley,primary,NGED,"['11', '66']",11,accepted,2,2.731,0,0
Strensham,primary,NGED,"['11', '66']",11,accepted,1,5,1,5
Naishcombe Hill,primary,NGED,"['11', '33']",11,accepted,1,4.555,0,0
Clifton,primary,NGED,"['11', '33']",11,accepted,2,2.5,0,0
Ryeford,bsp,NGED,['132'],33,accepted,1,5,1,5
Camp,primary,NGED,"['11', '33']",11,accepted,1,1,0,0
Javelin Park Efw,primary,NGED,[],33,accepted,1,5.9,0,0
Netherhills,primary,NGED,"['11', '33']",11,accepted,2,2.5,0,0
Ironbridge,gsp,NGED,['132'],132,accepted,1,10,1,10
Halesfield,primary,NGED,"['11', '33']",11,accepted,1,1.2,0,0
Ketley,bsp,NGED,['132'],11,accepted,1,25,1,25
Bartley Green,bsp,NGED,"['11', '132']",11,accepted,1,1,0,0
Rednal,bsp,NGED,['132'],11,accepted,1,10,0,0
Rednal,primary,NGED,"['11', '132']",11,accepted,1,3.723,0,0
Selly Oak,primary,NGED,"['11', '132']",11,accepted,1,1.5,0,0
Sutton Coldfield,primary,NGED,"['11', '132']",11,accepted,1,7,0,0
Castle Bromwich,primary,NGED,"['11', '132']",11,accepted,1,2,0,0
Chester Street,primary,NGED,"['11', '132']",11,accepted,1,1,0,0
Nechells West,primary,NGED,"['11', '132', '25']",11,accepted,3,8.01,0,0
Sparkbrook,primary,NGED,"['11', '132']",11,accepted,1,1.5,0,0
Tividale,primary,NGED,"['11', '132']",11,accepted,1,10,0,0
Penn,gsp,NGED,['132'],132,accepted,1,99,1,99
Rotol,primary,NGED,"['11', '33']",11,accepted,1,9,0,0
Cheltenham,primary,NGED,"['11', '132', '66']",11,accepted,1,1,0,0
Tewkesbury Grid,primary,NGED,"['11', '132']",11,accepted,1,1.379,0,0
Rugeley,gsp,NGED,['132'],132,accepted,1,49.9,1,49.9
Lichfield,primary,NGED,"['11', '132']",11,accepted,1,1.452,0,0
Shrewsbury,gsp,NGED,['132'],132,accepted,2,27,3,47
Shrewsbury,bsp,NGED,"['132', '33']",33,accepted,1,15,1,35
Leaton,primary,NGED,"['11', '33']",11,accepted,1,1.482,0,0
Roushill,primary,NGED,"['11', '33']",11,accepted,2,5.7,0,0
Spring Gardens,primary,NGED,"['11', '33']",11,accepted,1,3.71,0,0
Wolverhampton,bsp,NGED,['132'],11,accepted,1,5,0,0
Wolverhampton,primary,NGED,"['11', '132', '33']",11,accepted,1,1.8,1,2.066
Bishops Wood,gsp,NGED,['132'],132,pending,2,149,3,169
Kidderminster,primary,NGED,"['11', '132', '33']",11,pending,3,21.894,1,3.04
Bishops Castle,primary,NGED,"['11', '33']",11,pending,1,15,1,15
Malvern,bsp,NGED,['132'],11,pending,1,10,0,0
Malvern,primary,NGED,"['11', '132']",11,pending,1,10.32,0,0
Timberdine,bsp,NGED,['132'],132,pending,1,9.77,0,0
Timberdine,primary,NGED,"['11', '132']",11,pending,4,10.141,0,0
Upton Warren,primary,NGED,"['11', '132', '66']",11,pending,1,2.5,0,0
Warndon,primary,NGED,"['11', '132']",11,pending,1,1.75,0,0
Worcester,bsp,NGED,['132'],11,pending,1,1,0,0
Bushbury D,gsp,NGED,['132'],132,pending,3,164.3,2,149.3
Bushbury B-C,primary,NGED,"['11', '132', '33']",11,pending,3,4.5,0,0
Stafford,primary,NGED,"['11', '132', '25']",11,pending,1,5,0,0
Stafford South,primary,NGED,['11'],11,pending,1,1,0,0
Wednesfield,primary,NGED,"['11', '132']",11,pending,2,5,0,0
Bustleholm,gsp,NGED,['132'],132,pending,1,99.9,1,99.9
Bustleholm,primary,NGED,['11'],11,pending,2,2.762,0,0
Kingstanding / Dummy,primary,NGED,"['11', '132']",11,pending,1,14,0,0
Ladywood,primary,NGED,"['11', '132']",11,pending,1,1.25,0,0
Perry Barr,primary,NGED,"['11', '132']",11,pending,2,3,0,0
Rushall,primary,NGED,"['11', '132']",11,pending,1,1.8,0,0
Smethwick,bsp,NGED,"['132', '25']",11,pending,1,7.5,0,0
Smethwick,primary,NGED,"['11', '132']",11,pending,1,3,0,0
Walsall,bsp,NGED,"['132', '33']",33,pending,1,7.6,0,0
Winson Green,primary,NGED,"['11', '132']",11,pending,2,2,0,0
Cellarhead,gsp,NGED,['132'],132,pending,1,22,3,82
Boothen,primary,NGED,"['11', '132', '33']",11,pending,2,3.997,0,0
Burslem,primary,NGED,"['11', '132', '33']",11,pending,1,2,0,0
Cauldon,primary,NGED,[],11,pending,0,0,1,8
Longton,primary,NGED,"['11', '132', '33']",11,pending,2,2.9,0,0
Stagefields,primary,NGED,"['11', '132', '33']",11,pending,2,3.25,0,0
Banbury,primary,NGED,"['11', '132']",11,pending,5,11.7,0,0
Feckenham,gsp,NGED,"['11', '66']",66,pending,1,49.9,3,84.9
Feckenham,bsp,NGED,"['11', '66']",11,pending,1,8,0,0
Bloxham,primary,NGED,"['11', '66']",11,pending,3,6.123,1,1.337
Ipsley,primary,NGED,"['11', '66']",11,pending,1,1.5,0,0
Pershore,primary,NGED,"['11', '66']",11,pending,1,1,0,0
Redditch South,primary,NGED,"['11', '66']",11,pending,1,1.5,0,0
Stratford,primary,NGED,"['11', '66']",11,pending,1,1.66,0,0
Iron Acton,gsp,NGED,['132'],132,pending,1,99,2,129
Ryeford,bsp,NGED,['132'],33,pending,1,5,1,5
Dudbridge,primary,NGED,"['11', '33']",11,pending,1,2,1,2
Hammerley Down,primary,NGED,"['11', '33']",11,pending,1,3,0,0
Ironbridge,gsp,NGED,['132'],132,pending,3,640.544,2,705
Halesfield,primary,NGED,"['11', '33']",11,pending,1,1.2,0,0
Madeley,primary,NGED,"['11', '33']",11,pending,1,1,0,0
Ketley,primary,NGED,"['11', '132', '33']",11,pending,1,1,0,0
Newport,primary,NGED,"['11', '33']",11,pending,1,2,0,0
Snedshill,primary,NGED,"['11', '33']",11,pending,1,1.5,0,0
Bournville,primary,NGED,"['11', '132']",11,pending,1,1.5,0,0
Chad Valley,primary,NGED,"['11', '132']",11,pending,1,1.25,0,0
Highters Heath,primary,NGED,"['11', '132']",11,pending,4,28.199,0,0
Longbridge,primary,NGED,"['11', '132']",11,pending,2,3.966,0,0
Rednal,primary,NGED,"['11', '132']",11,pending,2,5.223,0,0
Elmdon,primary,NGED,"['11', '132']",11,pending,3,16.05,0,0
Hams Hall South,primary,NGED,"['11', '132']",11,pending,1,1.3,0,0
Shirley,primary,NGED,"['11', '132']",11,pending,2,4,0,0
Sutton Coldfield,primary,NGED,"['11', '132']",11,pending,1,1,0,0
Nechells East,gsp,NGED,['132'],11,pending,3,88,1,60
Bordesley,primary,NGED,"['11', '132']",11,pending,2,5.64,0,0
Boughton Road,primary,NGED,"['11', '132']",11,pending,1,2.5,0,0
Castle Bromwich,bsp,NGED,"['11', '132']",11,pending,1,1.6,0,0
Castle Bromwich,primary,NGED,"['11', '132']",11,pending,2,3.3,1,1.081
Cheapside,primary,NGED,"['11', '132']",11,pending,2,7,0,0
Chester Street,primary,NGED,"['11', '132']",11,pending,4,28,0,0
Erdington,primary,NGED,['11'],11,pending,3,4.3,0,0
Nechells West,primary,NGED,"['11', '132', '25']",11,pending,2,4,1,1.03
Hockley,primary,NGED,"['11', '132']",11,pending,3,5.3,0,0
Summer Lane,primary,NGED,"['11', '132']",11,pending,1,1.8,0,0
Black Lake,primary,NGED,"['11', '132']",11,pending,2,3.8,0,0
Birchfield Lane,primary,NGED,"['11', '132']",11,pending,2,3.698,0,0
Oldbury B,primary,NGED,['11'],11,pending,1,1,0,0
Tividale,primary,NGED,"['11', '132']",11,pending,5,40.287,0,0
Coseley,primary,NGED,"['11', '132']",11,pending,1,1,0,0
Lye,primary,NGED,['11'],11,pending,1,2.5,1,1.901
Woodside,primary,NGED,"['11', '132']",11,pending,2,2.94,0,0
Port Ham,gsp,NGED,['132'],132,pending,0,0,1,15
Commercial Road,primary,NGED,"['11', '33']",11,pending,1,2,0,0
Rotol,primary,NGED,"['11', '33']",11,pending,1,1,0,0
Bishops Cleeve,primary,NGED,"['11', '66']",11,pending,1,1.22,1,9.999
Cheltenham,primary,NGED,"['11', '132', '66']",11,pending,1,1.5,0,0
Eastern Avenue,primary,NGED,"['11', '132']",11,pending,4,12.5,0,0
Marle Hill,primary,NGED,"['11', '132', '66']",11,pending,1,1,0,0
Tewkesbury Grid,primary,NGED,"['11', '132']",11,pending,2,2.6,0,0
Rugeley,gsp,NGED,['132'],132,pending,2,625,3,675
Burntwood,primary,NGED,"['11', '132']",11,pending,1,1.5,0,0
Lichfield,primary,NGED,"['11', '132']",11,pending,5,8.58,0,0
Rugeley Town,primary,NGED,"['11', '132']",11,pending,2,3.044,0,0
Shrewsbury,gsp,NGED,['132'],132,pending,0,0,1,20
Shrewsbury,bsp,NGED,"['132', '33']",33,pending,3,101,2,115
Bayston Hill,primary,NGED,"['11', '33']",11,pending,2,2.769,0,0
Dothill,primary,NGED,"['11', '33']",11,pending,1,2.04,0,0
Leaton,primary,NGED,"['11', '33']",11,pending,2,19.582,1,18.1
Malehurst,primary,NGED,"['11', '33']",11,pending,1,3,0,0
Roushill,primary,NGED,"['11', '33']",11,pending,1,4.5,0,0
Spring Gardens,primary,NGED,"['11', '33']",11,pending,1,3,0,0
Bentley,primary,NGED,"['11', '132']",11,pending,4,14.7,0,0
Wolverhampton,primary,NGED,"['11', '132', '33']",11,pending,2,4.117,0,0
